link,cate_child,cate_main
cate,cate,Thoi Trang Nam
https://shopee.vn/%C3%81o-Kho%C3%A1c-cat.11035567.11035568,Áo Khoác,Thoi Trang Nam
https://shopee.vn/%C3%81o-Vest-v%C3%A0-Blazer-cat.11035567.11035572,Áo Vest và Blazer,Thoi Trang Nam
https://shopee.vn/%C3%81o-Hoodie-%C3%81o-Len-%C3%81o-N%E1%BB%89-cat.11035567.11035578,"Áo Hoodie, Áo Len & Áo Nỉ",Thoi Trang Nam
https://shopee.vn/Qu%E1%BA%A7n-Jeans-cat.11035567.11035583,Quần Jeans,Thoi Trang Nam
https://shopee.vn/Qu%E1%BA%A7n-D%C3%A0i-Qu%E1%BA%A7n-%C3%82u-cat.11035567.11035584,Quần Dài/Quần Âu,Thoi Trang Nam
https://shopee.vn/Qu%E1%BA%A7n-Short-cat.11035567.11035590,Quần Short,Thoi Trang Nam
https://shopee.vn/%C3%81o-cat.11035567.11035592,Áo,Thoi Trang Nam
https://shopee.vn/%C3%81o-Ba-L%E1%BB%97-cat.11035567.11035597,Áo Ba Lỗ,Thoi Trang Nam
https://shopee.vn/%C4%90%E1%BB%93-L%C3%B3t-cat.11035567.11035598,Đồ Lót,Thoi Trang Nam
https://shopee.vn/%C4%90%E1%BB%93-Ng%E1%BB%A7-cat.11035567.11035603,Đồ Ngủ,Thoi Trang Nam
https://shopee.vn/%C4%90%E1%BB%93-B%E1%BB%99-cat.11035567.11035604,Đồ Bộ,Thoi Trang Nam
https://shopee.vn/V%E1%BB%9B-T%E1%BA%A5t-cat.11035567.11035605,Vớ/Tất,Thoi Trang Nam
https://shopee.vn/Trang-Ph%E1%BB%A5c-Truy%E1%BB%81n-Th%E1%BB%91ng-cat.11035567.11035606,Trang Phục Truyền Thống,Thoi Trang Nam
https://shopee.vn/%C4%90%E1%BB%93-H%C3%B3a-Trang-cat.11035567.11035611,Đồ Hóa Trang,Thoi Trang Nam
https://shopee.vn/Trang-Ph%E1%BB%A5c-Ng%C3%A0nh-Ngh%E1%BB%81-cat.11035567.11035612,Trang Phục Ngành Nghề,Thoi Trang Nam
https://shopee.vn/Kh%C3%A1c-cat.11035567.11035613,Khác,Thoi Trang Nam
https://shopee.vn/Trang-S%E1%BB%A9c-Nam-cat.11035567.11035614,Trang Sức Nam,Thoi Trang Nam
https://shopee.vn/K%C3%ADnh-M%E1%BA%AFt-Nam-cat.11035567.11035620,Kính Mắt Nam,Thoi Trang Nam
https://shopee.vn/Th%E1%BA%AFt-L%C6%B0ng-Nam-cat.11035567.11035625,Thắt Lưng Nam,Thoi Trang Nam
https://shopee.vn/C%C3%A0-v%E1%BA%A1t-N%C6%A1-c%E1%BB%95-cat.11035567.11035626,Cà vạt & Nơ cổ,Thoi Trang Nam
https://shopee.vn/Ph%E1%BB%A5-Ki%E1%BB%87n-Nam-cat.11035567.11035627,Phụ Kiện Nam,Thoi Trang Nam
cate,cate,Thoi Trang Nu
https://shopee.vn/Qu%E1%BA%A7n-cat.11035639.11035648,Quần,Thoi Trang Nu
https://shopee.vn/Qu%E1%BA%A7n-%C4%91%C3%B9i-cat.11035639.11035652,Quần đùi,Thoi Trang Nu
https://shopee.vn/Ch%C3%A2n-v%C3%A1y-cat.11035639.11035656,Chân váy,Thoi Trang Nu
https://shopee.vn/Qu%E1%BA%A7n-jeans-cat.11035639.11035657,Quần jeans,Thoi Trang Nu
https://shopee.vn/%C4%90%E1%BA%A7m-V%C3%A1y-cat.11035639.11035658,Đầm/Váy,Thoi Trang Nu
https://shopee.vn/V%C3%A1y-c%C6%B0%E1%BB%9Bi-cat.11035639.11035659,Váy cưới,Thoi Trang Nu
https://shopee.vn/%C4%90%E1%BB%93-li%E1%BB%81n-th%C3%A2n-cat.11035639.11035660,Đồ liền thân,Thoi Trang Nu
https://shopee.vn/%C3%81o-kho%C3%A1c-%C3%81o-cho%C3%A0ng-Vest-cat.11035639.11035665,"Áo khoác, Áo choàng & Vest",Thoi Trang Nu
https://shopee.vn/%C3%81o-len-Cardigan-cat.11035639.11035672,Áo len & Cardigan,Thoi Trang Nu
https://shopee.vn/Hoodie-v%C3%A0-%C3%81o-n%E1%BB%89-cat.11035639.11035673,Hoodie và Áo nỉ,Thoi Trang Nu
https://shopee.vn/B%E1%BB%99-cat.11035639.11035677,Bộ,Thoi Trang Nu
https://shopee.vn/%C4%90%E1%BB%93-l%C3%B3t-cat.11035639.11035682,Đồ lót,Thoi Trang Nu
https://shopee.vn/%C4%90%E1%BB%93-ng%E1%BB%A7-cat.11035639.11035692,Đồ ngủ,Thoi Trang Nu
https://shopee.vn/%C3%81o-cat.11035639.11035640,Áo,Thoi Trang Nu
https://shopee.vn/%C4%90%E1%BB%93-t%E1%BA%ADp-cat.11035639.11035730,Đồ tập,Thoi Trang Nu
https://shopee.vn/%C4%90%E1%BB%93-B%E1%BA%A7u-cat.11035639.11035697,Đồ Bầu,Thoi Trang Nu
https://shopee.vn/%C4%90%E1%BB%93-truy%E1%BB%81n-th%E1%BB%91ng-cat.11035639.11035705,Đồ truyền thống,Thoi Trang Nu
https://shopee.vn/%C4%90%E1%BB%93-h%C3%B3a-trang-cat.11035639.11035711,Đồ hóa trang,Thoi Trang Nu
https://shopee.vn/V%E1%BA%A3i-cat.11035639.11035713,Vải,Thoi Trang Nu
https://shopee.vn/V%E1%BB%9B-T%E1%BA%A5t-cat.11035639.11035726,Vớ/ Tất,Thoi Trang Nu
https://shopee.vn/Kh%C3%A1c-cat.11035639.11035712,Khác,Thoi Trang Nu
cate,cate,Dien Thoai Phu kien
https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-cat.11036030.11036031,Dien Thoai Phu Kien,dien thoai phu kien
https://shopee.vn/M%C3%A1y-t%C3%ADnh-b%E1%BA%A3ng-cat.11036030.11036041,Máy tính bảng,dien thoai phu kien
https://shopee.vn/Pin-D%E1%BB%B1-Ph%C3%B2ng-cat.11036030.11036048,Pin Dự Phòng,dien thoai phu kien
https://shopee.vn/Pin-G%E1%BA%AFn-Trong-C%C3%A1p-v%C3%A0-B%E1%BB%99-S%E1%BA%A1c-cat.11036030.11036054,"Pin Gắn Trong, Cáp và Bộ Sạc",dien thoai phu kien
https://shopee.vn/%E1%BB%90p-l%C6%B0ng-bao-da-Mi%E1%BA%BFng-d%C3%A1n-%C4%91i%E1%BB%87n-tho%E1%BA%A1i-cat.11036030.11036060,"Ốp lưng, bao da, Miếng dán điện thoại",dien thoai phu kien
https://shopee.vn/B%E1%BA%A3o-v%E1%BB%87-m%C3%A0n-h%C3%ACnh-cat.11036030.11036064,Bảo vệ màn hình,dien thoai phu kien
https://shopee.vn/%C4%90%E1%BA%BF-gi%E1%BB%AF-%C4%91i%E1%BB%87n-tho%E1%BA%A1i-cat.11036030.11036074,Đế giữ dien thoai phu kien
https://shopee.vn/Th%E1%BA%BB-nh%E1%BB%9B-cat.11036030.11036083,Thẻ nhớ,dien thoai phu kien
https://shopee.vn/Sim-cat.11036030.11036084,Sim,dien thoai phu kien
https://shopee.vn/Ph%E1%BB%A5-ki%E1%BB%87n-kh%C3%A1c-cat.11036030.11036091,Phụ kiện khác,dien thoai phu kien
https://shopee.vn/Thi%E1%BA%BFt-b%E1%BB%8B-kh%C3%A1c-cat.11036030.11036097,Thiết bị khác,dien thoai phu kien
cate,cate,Me BE
https://shopee.vn/%C4%90%E1%BB%93-d%C3%B9ng-du-l%E1%BB%8Bch-cho-b%C3%A9-cat.11036194.11036195,Đồ dùng du lịch cho bé,ME BE
https://shopee.vn/%C4%90%E1%BB%93-d%C3%B9ng-%C4%83n-d%E1%BA%B7m-cho-b%C3%A9-cat.11036194.11036204,Đồ dùng ăn dặm cho bé,ME BE
https://shopee.vn/Ph%E1%BB%A5-ki%E1%BB%87n-cho-m%E1%BA%B9-cat.11036194.11036213,Phụ kiện cho mẹ,ME BE
https://shopee.vn/Ch%C4%83m-s%C3%B3c-s%E1%BB%A9c-kh%E1%BB%8Fe-m%E1%BA%B9-cat.11036194.11036217,Chăm sóc sức khỏe mẹ,ME BE
https://shopee.vn/%C4%90%E1%BB%93-d%C3%B9ng-ph%C3%B2ng-t%E1%BA%AFm-Ch%C4%83m-s%C3%B3c-c%C6%A1-th%E1%BB%83-b%C3%A9-cat.11036194.11036222,Đồ dùng phòng tắm & Chăm sóc cơ thể bé,ME BE
https://shopee.vn/%C4%90%E1%BB%93-d%C3%B9ng-ph%C3%B2ng-ng%E1%BB%A7-cho-b%C3%A9-cat.11036194.11036233,Đồ dùng phòng ngủ cho bé,ME BE
https://shopee.vn/An-to%C3%A0n-cho-b%C3%A9-cat.11036194.11036240,An toàn cho bé,ME BE
https://shopee.vn/Th%E1%BB%B1c-ph%E1%BA%A9m-cho-b%C3%A9-cat.11036194.11036248,Thực phẩm cho bé,ME BE
https://shopee.vn/Ch%C4%83m-s%C3%B3c-s%E1%BB%A9c-kh%E1%BB%8Fe-b%C3%A9-cat.11036194.11036253,Chăm sóc sức khỏe bé,ME BE
https://shopee.vn/T%C3%A3-b%C3%B4-em-b%C3%A9-cat.11036194.11036260,Tã & bô em bé,ME BE
https://shopee.vn/%C4%90%E1%BB%93-ch%C6%A1i-cat.11036194.11036266,Đồ chơi,ME BE
https://shopee.vn/B%E1%BB%99-G%C3%B3i-qu%C3%A0-t%E1%BA%B7ng-cat.11036194.11036277,Bộ & Gói quà tặng,ME BE
https://shopee.vn/Kh%C3%A1c-cat.11036194.11036278,Khác,ME BE
https://shopee.vn/S%E1%BB%AFa-c%C3%B4ng-th%E1%BB%A9c-tr%C3%AAn-24-th%C3%A1ng-cat.11036194.11059299,Sữa công thức trên 24 tháng,ME BE
https://shopee.vn/S%E1%BB%AFa-c%C3%B4ng-th%E1%BB%A9c-0-24-th%C3%A1ng-tu%E1%BB%95i-cat.11036194.11059300,Sữa công thức 0-24 tháng tuổi,ME BE
cate,cate,Thiet Bi Dien Tu
https://shopee.vn/Thi%E1%BA%BFt-b%E1%BB%8B-%C4%91eo-th%C3%B4ng-minh-cat.11036132.11036160,Thiết bị đeo thông minh,Thiet Bi Dien Tu
https://shopee.vn/Ph%E1%BB%A5-ki%E1%BB%87n-tivi-cat.11036132.11036167,Phụ kiện tivi,Thiet Bi Dien Tu
https://shopee.vn/M%C3%A1y-Game-Console-cat.11036132.11036172,Máy Game Console,Thiet Bi Dien Tu
https://shopee.vn/Ph%E1%BB%A5-ki%E1%BB%87n-Console-cat.11036132.11036182,Phụ kiện Console,Thiet Bi Dien Tu
https://shopee.vn/%C4%90%C4%A9a-game-cat.11036132.11036184,Đĩa game,Thiet Bi Dien Tu
https://shopee.vn/Linh-ph%E1%BB%A5-ki%E1%BB%87n-cat.11036132.11036133,Linh phụ kiện,Thiet Bi Dien Tu
https://shopee.vn/Tai-nghe-nh%C3%A9t-tai-cat.11036132.11036143,Tai nghe nhét tai,Thiet Bi Dien Tu
https://shopee.vn/Loa-cat.11036132.11036135,Loa,Thiet Bi Dien Tu
https://shopee.vn/Tivi-cat.11036132.11036151,Tivi,Thiet Bi Dien Tu
https://shopee.vn/Tivi-Box-cat.11036132.11036157,Tivi Box,Thiet Bi Dien Tu
https://shopee.vn/Headphones-cat.11036132.11109141,Headphones,Thiet Bi Dien Tu
cate,cate,Nha  Cua Doi Song
https://shopee.vn/Ch%C4%83n-Ga-G%E1%BB%91i-N%E1%BB%87m-cat.11036670.11036683,"Chăn, Ga, Gối & Nệm",Nha  Cua Doi Song
https://shopee.vn/%C4%90%E1%BB%93-n%E1%BB%99i-th%E1%BA%A5t-cat.11036670.11036695,Đồ nội thất,Nha  Cua Doi Song
https://shopee.vn/Trang-tr%C3%AD-nh%C3%A0-c%E1%BB%ADa-cat.11036670.11036717,Trang trí nhà cửa,Nha  Cua Doi Song
https://shopee.vn/D%E1%BB%A5ng-c%E1%BB%A5-Thi%E1%BA%BFt-b%E1%BB%8B-ti%E1%BB%87n-%C3%ADch-cat.11036670.11036732,Dụng cụ & Thiết bị tiện ích,Nha  Cua Doi Song
https://shopee.vn/%C4%90%E1%BB%93-d%C3%B9ng-nh%C3%A0-b%E1%BA%BFp-v%C3%A0-h%E1%BB%99p-%C4%91%E1%BB%B1ng-th%E1%BB%B1c-ph%E1%BA%A9m-cat.11036670.11036748,Đồ dùng nhà bếp và hộp đựng thực phẩm,Nha  Cua Doi Song
https://shopee.vn/%C4%90%C3%A8n-cat.11036670.11036760,Đèn,Nha  Cua Doi Song
https://shopee.vn/Ngo%C3%A0i-tr%E1%BB%9Di-S%C3%A2n-v%C6%B0%E1%BB%9Dn-cat.11036670.11036776,Ngoài trời & Sân vườn,Nha  Cua Doi Song
https://shopee.vn/%C4%90%E1%BB%93-d%C3%B9ng-ph%C3%B2ng-t%E1%BA%AFm-cat.11036670.11036671,Đồ dùng phòng tắm,Nha  Cua Doi Song
https://shopee.vn/V%E1%BA%ADt-ph%E1%BA%A9m-th%E1%BB%9D-c%C3%BAng-cat.11036670.11111670,Vật phẩm thờ cúng,Nha  Cua Doi Song
https://shopee.vn/%C4%90%E1%BB%93-trang-tr%C3%AD-ti%E1%BB%87c-cat.11036670.11111669,Đồ trang trí tiệc,Nha  Cua Doi Song
https://shopee.vn/Ch%C4%83m-s%C3%B3c-nh%C3%A0-c%E1%BB%ADa-v%C3%A0-gi%E1%BA%B7t-%E1%BB%A7i-cat.11036670.11111665,Chăm sóc nhà cửa và giặt ủi,Nha  Cua Doi Song
https://shopee.vn/S%E1%BA%AFp-x%E1%BA%BFp-nh%C3%A0-c%E1%BB%ADa-cat.11036670.11111668,Sắp xếp nhà cửa,Nha  Cua Doi Song
https://shopee.vn/D%E1%BB%A5ng-c%E1%BB%A5-pha-ch%E1%BA%BF-cat.11036670.11111666,Dụng cụ pha chế,Nha  Cua Doi Song
https://shopee.vn/Tinh-d%E1%BA%A7u-th%C6%A1m-ph%C3%B2ng-cat.11036670.11111664,Tinh dầu thơm phòng,Nha  Cua Doi Song
https://shopee.vn/%C4%90%E1%BB%93-d%C3%B9ng-ph%C3%B2ng-%C4%83n-cat.11036670.11111667,Đồ dùng phòng ăn,Nha  Cua Doi Song
cate,cate,May Tinh Lap Top
https://shopee.vn/M%C3%A1y-T%C3%ADnh-B%C3%A0n-cat.11035954.11035955,Máy Tính Bàn,May Tinh Lap Top
https://shopee.vn/M%C3%A0n-H%C3%ACnh-cat.11035954.11035961,Màn Hình,May Tinh Lap Top
https://shopee.vn/Linh-Ki%E1%BB%87n-M%C3%A1y-T%C3%ADnh-cat.11035954.11035962,Linh Kiện Máy Tính,May Tinh Lap Top
https://shopee.vn/Thi%E1%BA%BFt-B%E1%BB%8B-L%C6%B0u-Tr%E1%BB%AF-cat.11035954.11035975,Thiết Bị Lưu Trữ,May Tinh Lap Top
https://shopee.vn/Thi%E1%BA%BFt-B%E1%BB%8B-M%E1%BA%A1ng-cat.11035954.11035983,Thiết Bị Mạng,May Tinh Lap Top
https://shopee.vn/M%C3%A1y-In-M%C3%A1y-Scan-M%C3%A1y-Chi%E1%BA%BFu-cat.11035954.11035993,"Máy In, Máy Scan & Máy Chiếu",May Tinh Lap Top
https://shopee.vn/Ph%E1%BB%A5-Ki%E1%BB%87n-M%C3%A1y-T%C3%ADnh-cat.11035954.11036000,Phụ Kiện Máy Tính,May Tinh Lap Top
https://shopee.vn/Laptop-cat.11035954.11036015,Laptop,May Tinh Lap Top
https://shopee.vn/Kh%C3%A1c-cat.11035954.11036016,Khác,May Tinh Lap Top
https://shopee.vn/Gaming-cat.11035954.11036023,Gaming,May Tinh Lap Top
cate,cate,Sac Dep
